berry,main_tree_type,forest_development_class,x,y,year,week_number,Latitude,Longitude,Coordinates
cloudberry,pine,clearing,580000,7320000,2018,31,65.99072374551635,28.76218185740364,"65.99072374551635,28.762181857403643"
cloudberry,birch,clearing,470000,7150000,2018,26,64.47415770882945,26.37605338583101,"64.47415770882945,26.376053385831007"
cloudberry,pine,clearing,570000,7410000,2018,31,66.80018695321921,28.59249727980589,"66.80018695321921,28.59249727980589"
bilberry,pine,old,340000,6800000,2022,28,61.30122674546548,24.01268664399914,"61.301226745465485,24.012686643999135"
bilberry,pine,old,270000,6710000,2022,28,60.46042571829598,22.81633281722572,"60.46042571829598,22.81633281722572"
bilberry,spruce,old,450000,6740000,2022,28,60.79227340625503,26.08151462092729,"60.79227340625503,26.081514620927287"
bilberry,pine,old,410000,7040000,2022,28,63.47694058879721,25.19347674995947,"63.476940588797206,25.193476749959466"
bilberry,pine,plantation,430000,7400000,2022,35,66.71051424952127,25.41329028245461,"66.71051424952127,25.413290282454607"
bilberry,spruce,seedling,620000,7010000,2022,29,63.19907222959586,29.38574760913852,"63.19907222959586,29.385747609138516"
bilberry,pine,plantation,270000,6980000,2022,29,62.87723735329256,22.47548975766792,"62.877237353292564,22.47548975766792"
bilberry,pine,plantation,540000,7130000,2022,29,64.29367682817325,27.82649554604692,"64.29367682817325,27.82649554604692"
bilberry,pine,old,500000,6810000,2022,29,61.42385739006525,27.0,"61.42385739006525,27.0"
bilberry,pine,seedling,650000,7030000,2022,29,63.36707480673363,29.9998904649648,"63.36707480673363,29.999890464964796"
bilberry,pine,plantation,290000,6930000,2022,29,62.44165992217434,22.92965386387463,"62.44165992217434,22.92965386387463"
bilberry,pine,old,640000,7080000,2022,29,63.81931583038386,29.84463725202124,"63.819315830383864,29.84463725202124"
bilberry,pine,plantation,500000,6910000,2022,29,62.32153225242278,27.0,"62.321532252422784,27.0"
bilberry,spruce,old,290000,6790000,2022,28,61.18794819224924,23.09256168218762,"61.18794819224924,23.09256168218762"
bilberry,spruce,old,250000,7000000,2022,29,63.04293276915561,22.05353217297576,"63.04293276915561,22.053532172975764"
bilberry,pine,plantation,510000,7240000,2022,29,65.2828926833805,27.21432873491355,"65.2828926833805,27.214328734913547"
bilberry,spruce,old,490000,6810000,2022,29,61.42372846636539,26.81260716007894,"61.42372846636539,26.812607160078937"
bilberry,spruce,old,250000,6800000,2022,29,61.25395776353515,22.33770420290147,"61.253957763535155,22.337704202901467"
bilberry,pine,old,530000,6780000,2022,29,61.15338431100078,27.55736815100883,"61.15338431100078,27.557368151008834"
bilberry,pine,plantation,430000,6870000,2022,29,61.95601700275535,25.66539897252187,"61.95601700275535,25.66539897252187"
bilberry,pine,old,310000,7040000,2022,29,63.43760058498992,23.19015432328583,"63.437600584989916,23.19015432328583"
bilberry,pine,old,480000,6740000,2022,29,60.79491161245225,26.63258255306271,"60.79491161245225,26.63258255306271"
bilberry,pine,plantation,350000,7060000,2022,29,63.63594169773115,23.97175124306635,"63.63594169773115,23.971751243066347"
bilberry,pine,seedling,500000,6910000,2022,29,62.32153225242278,27.0,"62.321532252422784,27.0"
bilberry,pine,plantation,430000,7020000,2022,29,63.30199940059413,25.60350873283314,"63.30199940059413,25.603508732833145"
bilberry,mixed,plantation,600000,7330000,2022,29,66.07470334835045,29.21012865595239,"66.07470334835045,29.210128655952392"
bilberry,spruce,old,480000,7030000,2022,29,63.39802750353635,26.59969124978069,"63.398027503536355,26.599691249780687"
