year,week_number,rovaniemi_temperature,sodankylä_temperature,ivalo_temperature,oulu_temperature,kajaani_temperature,kuopio_temperature,jyväskylä_temperature,tampere_temperature,helsinki_temperature,rov_lat,rov_lon,sod_lat,sod_lon,iva_lat,iva_lon,oul_lat,oul_lon,kaj_lat,kaj_lon,kuo_lat,kuo_lon,jyv_lat,jyv_lon,tam_lat,tam_lon,hel_lat,hel_lon
2019,32,"10,75714286","9,885714286","8,657142857","13,27142857","12,12857143","15,41428571","14,48571429","15,87142857","16,75714286","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,33,"13,5","13,82857143","13,05714286","15,3","14,78571429","17,32857143","15,32857143","16,1","17,28571429","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,34,"12,58571429","12,52857143","11,87142857","13,77142857","13,47142857","15,05714286","13,68571429","17,58571429","16,51428571","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,35,"15,34285714","15,47142857","15,35714286","17,02857143","17,25714286","13,31428571","16,38571429","14,75714286","18,48571429","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,36,"11,07142857","11,22857143","11,25714286","12,92857143","13,5","5,971428571","12,68571429",14,"14,84285714","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,37,"9,7","9,314285714","9,657142857","11,94285714","11,71428571","5,214285714","11,91428571","7,057142857","13,9","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,38,"3,114285714","2,471428571","3,214285714","5,357142857","4,842857143","4,842857143","4,414285714","5,542857143","7,285714286","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,39,"5,242857143","5,2","4,885714286","6,528571429","5,9","3,5","5,785714286","5,871428571","7,942857143","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,40,"2,671428571","2,285714286","2,171428571","5,171428571","4,257142857","2,7","3,585714286","3,057142857","5,128571429","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,41,"0,6","0,08571428571","1,328571429","2,671428571","2,671428571","5,157142857","2,828571429","3,714285714","6,085714286","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,42,"-1,085714286","-2,271428571","-3,3","1,857142857","1,542857143","-1,542857143","2,342857143",7,"6,128571429","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,43,"-1,457142857","-3,014285714","-4,442857143","3,457142857","3,142857143","-4,828571429","4,857142857","0,5428571429","7,5","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
2019,44,"-8,5","-12,225","-12,25","-3,95","-3,825","-0,7","-2,225","-1,625","-0,375","66,56","25,84","67,37","26,63","68,61","27,42","64,94","25,34","64,28","27,67","63,00","27,81","63,00","27,81","63,00","27,81","60,33","24,96"
